SLNo,BHK_Type,Property_Name,Property_Type,Beds,Bathroom,Balcony,Address,City,State_code,Country,Landmarks
2934,3,3BHK Multistorey Apartment for Resale in Kumar Palmgrove at Kondhwa,Apartment,3,3,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2935,2,2BHK Multistorey Apartment for Resale in ARV Royale at Handewadi Road,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2936,1,"1BHK Multistorey Apartment for Resale in Parvati Gaon, Parvati Darshan",Apartment,1,1,,"Pune, Maharashtra",Pune,Maharashtra,India,
2937,2,2BHK Multistorey Apartment for Resale in Shree Vardhman Nagar at Kondhwa,Apartment,2,2,,"Pune, Maharashtra",Pune,Maharashtra,India,Unity Park
2938,2,2BHK Multistorey Apartment for Resale in Pawar Nagar Thergaon,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Near Aditya Birla Hospital
2939,1,1BHK Multistorey Apartment for Resale in Sukhwani Baug at Bhosari,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Chatrapati Shivaji Chowk
2940,3,3BHK Multistorey Apartment for New Property in Gandhi Euthenia Homes at Bavdhan,Apartment,3,3,2,"Pune, Maharashtra",Pune,Maharashtra,India,"Vidnyan Nagar Road, Opp Prabhat Housing Society"
2941,2,"2BHK Multistorey Apartment for Resale in Dapodi, Pimpri Chinchwad",Apartment,2,2,3,"Pune, Maharashtra",Pune,Maharashtra,India,Near Dapodi Metro Station
2942,2,2BHK Multistorey Apartment for Resale in The Palazzo at Hadapsar,Apartment,2,3,3,"Pune, Maharashtra",Pune,Maharashtra,India,Near Suda Suman Society
2943,2,2BHK Multistorey Apartment for Resale in Elite Embassy at Bavdhan,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Bavdhan Police station
2944,3,3BHK Multistorey Apartment for Resale in Mittal Sun Grandeur at Bavdhan,Apartment,3,3,3,"Pune, Maharashtra",Pune,Maharashtra,India,DSK Ranawara.
2945,1,1BHK Multistorey Apartment for Resale in Ambadwet,Apartment,1,1,2,"Pune, Maharashtra",Pune,Maharashtra,India,just 10-12 min long from hinjewadi Phase-3
2946,2,2BHK Multistorey Apartment for Resale in Sun Radiant at Kondhwa BK,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,
2947,3,3BHK Multistorey Apartment for Resale in Pride Platinum Plus at Pan Card Club Road,Apartment,3,3,3,"Pune, Maharashtra",Pune,Maharashtra,India,Mr DIY
2948,2,2BHK Multistorey Apartment for Resale in Dwarka City at Chakan,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Hotel Green Park
2949,1,"1BHK Multistorey Apartment for Resale in Kothari Apartment at Bhairav Nagar, Dhanori",Apartment,1,1,,"Pune, Maharashtra",Pune,Maharashtra,India,Near kailash dham
2950,2,2BHK Multistorey Apartment for Resale in Golden Topaz at Katraj Kondhwa Road,Apartment,2,3,1,"Pune, Maharashtra",Pune,Maharashtra,India,St. View International school
2951,2,2BHK Multistorey Apartment for Resale in Mont Vert Pristine at Aundh,Apartment,2,2,3,"Pune, Maharashtra",Pune,Maharashtra,India,Khadki  Range Hills Metro station already operational
2952,3,"3BHK Multistorey Apartment for Resale in SKYi Songbirds at Bhugaon, Bavdhan",Apartment,3,3,3,"Pune, Maharashtra",Pune,Maharashtra,India,"The property has scenic views, gated community with club"
2953,1,"1BHK Multistorey Apartment for Resale in Kale Padal, Hadapsar",Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Jspm institute of pharmacy.
2954,3,"3BHK Multistorey Apartment for Resale in BK Jhala Tranquility Phase II at Manjri, Manjri Budruk",Apartment,3,3,2,"Pune, Maharashtra",Pune,Maharashtra,India,
