SLNo,Furnished_status,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
259,Semi-Furnished,East,1 Covered,Freehold,100000,9000000
260,Semi-Furnished,North - East,"1 Covered, 1 Open",Freehold,100000,28800000
261,Semi-Furnished,East,,Freehold,100000,14700000
262,Semi-Furnished,East,,Freehold,2450000,24500000
263,Semi-Furnished,East,"3 Covered, 1 Open",Freehold,3000000,85000000
264,Unfurnished,North,2 Covered,Freehold,1300000,130000000
265,Semi-Furnished,North - East,2 Open,Freehold,1500000,12900000
266,Unfurnished,South - East,3 Covered,Freehold,500000,45000000
267,Semi-Furnished,North,,Freehold,2000000,17500000
268,Semi-Furnished,West,"6 Covered, 4 Open",Freehold,5000000,250000000
269,Semi-Furnished,North - East,"1 Covered, 1 Open",Freehold,100000,20000000
270,Semi-Furnished,North - West,"3 Covered, 2 Open",Freehold,500000,85000000
271,Semi-Furnished,East,"1 Covered, 1 Open",Freehold,500000,24000000
272,Furnished,,4 Covered,Freehold,0,117500000
273,Semi-Furnished,East,,Freehold,0,85000000
274,Unfurnished,North - East,2 Open,Freehold,500000,25000000
275,Unfurnished,North - East,,Freehold,100000,26500000
276,Semi-Furnished,North - East,"1 Covered, 1 Open",Freehold,100000,29900000
277,Semi-Furnished,North,2 Open,Freehold,2000000,22000000
278,Semi-Furnished,North - East,"1 Covered, 2 Open",Freehold,100000,32000000
279,Semi-Furnished,North,,Freehold,500000,47500000
280,Unfurnished,South,,Freehold,250000,24000000
281,Semi-Furnished,North - East,2 Open,Freehold,100000,24000000
282,Semi-Furnished,North - East,"1 Covered, 1 Open",Freehold,1000000,21800000
283,Furnished,North,"2 Covered, 2 Open",Freehold,5000000,50000000
284,Semi-Furnished,East,,Freehold,1500000,15000000
285,Semi-Furnished,East,1 Covered,Freehold,0,5500000
286,Semi-Furnished,South - East,,Freehold,100000,3500000
287,Furnished,North - East,"1 Covered, 1 Open",Freehold,100000,22000000
288,Semi-Furnished,North - East,,Freehold,0,29000000
289,Semi-Furnished,North - East,"2 Covered, 2 Open",Freehold,90000,90000000
290,Semi-Furnished,North - East,"1 Covered, 1 Open",Freehold,100000,42500000
291,Semi-Furnished,East,1 Covered,Freehold,11000,2750000
292,Unfurnished,East,1 Covered,Freehold,0,11500000
293,Unfurnished,North,,Freehold,500000,105000000
294,Unfurnished,North - East,"1 Covered, 1 Open",Freehold,50000,17500000
295,Semi-Furnished,East,"2 Covered, 1 Open",Freehold,500000,37500000
296,Unfurnished,East,,Freehold,500000,38000000
297,Unfurnished,North - East,1 Open,,500000,16500000
298,Semi-Furnished,East,1 Covered,Freehold,50000,3200000
299,Semi-Furnished,North - East,"1 Covered, 1 Open",Freehold,500000,23000000
300,Unfurnished,East,3 Open,Freehold,200000,16500000
301,Semi-Furnished,North - East,2 Covered,Freehold,200000,35000000
302,Furnished,North - East,"1 Covered, 1 Open",Freehold,11000,5850000
303,Semi-Furnished,East,"2 Covered, 2 Open",Freehold,5000000,47500000
304,Semi-Furnished,North - East,"3 Covered, 2 Open",Freehold,800000,105000000
305,Unfurnished,North - East,,Freehold,0,2100000
306,Unfurnished,,,Freehold,0,10000000
307,Semi-Furnished,North - West,1 Open,Freehold,500000,6500000
308,Semi-Furnished,,,,0,5000000
309,Semi-Furnished,,,,0,2300000
310,Furnished,,,,0,6500000
311,Semi-Furnished,,,,0,6200000
312,Unfurnished,,2 Open,,0,6850000
